static.prop.vendingmachine ['vendingmachine', 'static', 'prop']
walker.pedestrian.0029 ['0029', 'walker', 'pedestrian']
walker.pedestrian.0026 ['0026', 'walker', 'pedestrian']
static.prop.plantpot03 ['plantpot03', 'static', 'prop']
static.prop.plantpot05 ['plantpot05', 'static', 'prop']
walker.pedestrian.0052 ['0052', 'walker', 'pedestrian']
static.prop.pergola ['pergola', 'static', 'prop']
walker.pedestrian.0049 ['0049', 'walker', 'pedestrian']
static.prop.swingcouch ['swingcouch', 'static', 'prop']
walker.pedestrian.0017 ['0017', 'walker', 'pedestrian']
walker.pedestrian.0048 ['0048', 'walker', 'pedestrian']
static.prop.chainbarrierend ['chainbarrierend', 'static', 'prop']
vehicle.nissan.patrol_2021 ['vehicle', 'patrol_2021', 'nissan']
walker.pedestrian.0016 ['0016', 'walker', 'pedestrian']
walker.pedestrian.0015 ['walker', '0015', 'pedestrian']
walker.pedestrian.0012 ['0012', 'walker', 'pedestrian']
walker.pedestrian.0011 ['0011', 'walker', 'pedestrian']
walker.pedestrian.0003 ['0003', 'walker', 'pedestrian']
walker.pedestrian.0009 ['0009', 'walker', 'pedestrian']
vehicle.audi.a2 ['vehicle', 'a2', 'audi']
static.prop.ironplank ['ironplank', 'static', 'prop']
static.prop.motorhelmet ['static', 'motorhelmet', 'prop']
walker.pedestrian.0019 ['0019', 'walker', 'pedestrian']
vehicle.audi.etron ['vehicle', 'etron', 'audi']
walker.pedestrian.0020 ['walker', '0020', 'pedestrian']
static.prop.trashbag ['trashbag', 'static', 'prop']
static.prop.creasedbox03 ['creasedbox03', 'static', 'prop']
static.prop.trashcan04 ['trashcan04', 'static', 'prop']
sensor.other.v2x ['sensor', 'v2x', 'other']
sensor.camera.cosmos_visualization ['cosmos_visualization', 'sensor', 'camera']
sensor.other.radar ['radar', 'sensor', 'other']
sensor.camera.instance_segmentation ['instance_segmentation', 'sensor', 'camera']
sensor.camera.semantic_segmentation ['semantic_segmentation', 'sensor', 'camera']
